2024-04-30 17:22:05.786 | INFO     | __main__:<module>:122 - 开始执行...
2024-04-30 17:22:05.798 | INFO     | __main__:<module>:123 - 获取仓库issue列表...
2024-04-30 17:22:08.348 | INFO     | __main__:get_repo_issues_list:44 - 第1页 * 100, 获取到 100 个issue
2024-04-30 17:22:08.350 | INFO     | __main__:get_repo_issues_list:59 - {'title': '使用gradio配置前端页面，方便配置参数', 'number': 1, 'body': '说明：\r\n1. 通过app.py启动项目\r\n2. 目前只支持bilibili，dy和ks暂时没有实现\r\n3. 目前前端只支持部分配置，claude和gpt等模型连接的嵌套json格式暂时不知道怎么处理\r\n4. config/config_list.txt 中的配置信息要严格按照顺序，这与源代码的配置有关。因为gradio传参不支持 dist字典，无奈只能有这种笨方法实现。如果gradio可以通过 dist 传参，那么实现会简单很多'}
2024-04-30 17:22:08.351 | INFO     | __main__:get_repo_issues_list:59 - {'title': '新增 接入本地chatglm', 'number': 2, 'body': None}
2024-04-30 17:22:08.352 | INFO     | __main__:get_repo_issues_list:59 - {'title': '修复全局字符替换时出现的部分替换失败导致的部分功能失效的bug', 'number': 3, 'body': None}
2024-04-30 17:22:08.353 | INFO     | __main__:get_repo_issues_list:59 - {'title': '优化说明文档', 'number': 4, 'body': None}
2024-04-30 17:22:08.354 | INFO     | __main__:get_repo_issues_list:59 - {'title': '新增FAQ +1', 'number': 5, 'body': None}
2024-04-30 17:22:08.355 | INFO     | __main__:get_repo_issues_list:59 - {'title': '增加Edge-TTS的语速、音量调节参数；优化说明文档', 'number': 6, 'body': None}
2024-04-30 17:22:08.356 | INFO     | __main__:get_repo_issues_list:59 - {'title': '结合claude和本地向量数据库实现langchain_pdf', 'number': 7, 'body': '本地模型：["sebastian-hofstaetter/distilbert-dot-tas_b-b256-msmarco"](https://huggingface.co/sebastian-hofstaetter/distilbert-dot-tas_b-b256-msmarco/tree/main)\r\n\r\n使用方法：\r\n  1. 在config.json中配置chat-type为langchain_pdf_local\r\n  2. 启动bilibili.py\r\n  3. 第一次启动会先下载本地模型到本地，大约2gb\r\n  4. 启动后，默认加载data目录下的文件，可以在config.json中配置\r\n  5. 向量化的数据必须是zip格式，不能只是pdf。（方便分析多个pdf文件）'}
2024-04-30 17:22:08.358 | INFO     | __main__:get_repo_issues_list:59 - {'title': '优化langchain_pdf_local代码和prompt，使回答更人性化', 'number': 8, 'body': 'langchain_pdf_local更新内容：\r\n1. 可定制化prompt。默认的prompt已经调试好，question即使与本地向量数据库信息不相符，也有很好的回答效果，更接近与人交流的水平。相关配置在config.json可以配置（question_prompt）\r\n2. 增加max_query配置。方便控制从向量数据库查询词条的数目\r\n3. 优化日志输出'}
2024-04-30 17:22:08.360 | INFO     | __main__:get_repo_issues_list:59 - {'title': '改为GUI版；config.json结构调整；兼容langchain_pdf_local模式', 'number': 9, 'body': '- 增加GUI运行的bat文件，需要配合本地虚拟环境运行。请到releases下载。\r\n- 对config.json的结构做了调整，增加了弹幕前后缀过滤配置、Edge-TTS语速、音量增益调节。\r\n- 与主线langchain_pdf_local合并。'}
2024-04-30 17:22:08.361 | INFO     | __main__:get_repo_issues_list:59 - {'title': '冲突文件恢复', 'number': 10, 'body': '虽然已经恢复过了，在恢复一下'}
2024-04-30 17:22:08.362 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充tiktoken依赖', 'number': 11, 'body': None}
2024-04-30 17:22:08.363 | INFO     | __main__:get_repo_issues_list:59 - {'title': '本地违禁词检测改用Aho-Corasick 算法实现', 'number': 12, 'body': None}
2024-04-30 17:22:08.365 | INFO     | __main__:get_repo_issues_list:59 - {'title': '新增Live2D板块，增加web服务驱动live2d', 'number': 13, 'body': None}
2024-04-30 17:22:08.366 | INFO     | __main__:get_repo_issues_list:59 - {'title': 'live2d和配置相关说明更新', 'number': 14, 'body': None}
2024-04-30 17:22:08.367 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充遗漏的main.py', 'number': 15, 'body': None}
2024-04-30 17:22:08.368 | INFO     | __main__:get_repo_issues_list:59 - {'title': '修复无法从本地向量数据库加载的bug', 'number': 16, 'body': '更新内容：\r\n1. 修复无法从本地向量数据库加载的bug。现在程序可以加载之前已经创建好的向量数据库\r\n2. 优化langchain_local_pdf日志输出格式'}
2024-04-30 17:22:08.369 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充遗漏依赖；补充打包懒人包的说明', 'number': 17, 'body': None}
2024-04-30 17:22:08.371 | INFO     | __main__:get_repo_issues_list:59 - {'title': '删除不用的QtWebEngineWidgets；尝试追加重置Claude机制（未果', 'number': 18, 'body': None}
2024-04-30 17:22:08.372 | INFO     | __main__:get_repo_issues_list:59 - {'title': '音频合成更改多线程为队列结构，解决高并发的崩溃问题', 'number': 19, 'body': None}
2024-04-30 17:22:08.374 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充遗漏的queue依赖；增加弹幕触发,回复部分日志记录时，每20字符自动换行的机制', 'number': 20, 'body': None}
2024-04-30 17:22:08.376 | INFO     | __main__:get_repo_issues_list:59 - {'title': '优化代码。langchain_pdf_local增加GanymedeNil/text2vec-large-chinese 模型', 'number': 21, 'body': '更新内容：\r\n1. 优化代码\r\n2. 增加GanymedeNil/text2vec-large-chinese 模型，这个模型对中文支持很好，搜索准确度很高。不过加载解析数据库很耗时'}
2024-04-30 17:22:08.377 | INFO     | __main__:get_repo_issues_list:59 - {'title': 'README.md 增加colab云端解析向量数据库', 'number': 22, 'body': None}
2024-04-30 17:22:08.378 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充说明文档', 'number': 23, 'body': None}
2024-04-30 17:22:08.379 | INFO     | __main__:get_repo_issues_list:59 - {'title': '补充说明文档', 'number': 24, 'body': None}
2024-04-30 17:22:08.381 | INFO     | __main__:get_repo_issues_list:59 - {'title': '修改edge-tts合成音频的文件名范围；更换抖音方案为dy-barrage-grab', 'number': 25, 'body': None}
2024-04-30 17:22:08.382 | INFO     | __main__:get_repo_issues_list:59 - {'title': 'GUI新增 弹幕日志类型、修改langchain_pdf_local的模型下拉选择；优化文档，新增待办事项', 'number': 26, 'body': None}
